episode,timestep,return
969,145948,-123.0
970,146098,-150.0
971,146220,-122.0
972,146352,-132.0
973,146511,-159.0
974,146598,-87.0
975,146762,-164.0
976,146942,-180.0
977,147055,-113.0
978,147220,-165.0
979,147400,-180.0
980,147511,-111.0
981,147625,-114.0
982,147769,-144.0
983,147889,-120.0
984,147997,-108.0
985,148127,-130.0
986,148233,-106.0
987,148342,-109.0
988,148465,-123.0
989,148580,-115.0
990,148671,-91.0
991,148786,-115.0
992,148980,-194.0
993,149105,-125.0
994,149235,-130.0
995,149356,-121.0
996,149484,-128.0
997,149579,-95.0
998,149691,-112.0
999,149818,-127.0
1000,149946,-128.0
1001,150065,-119.0
1002,150155,-90.0
1003,150267,-112.0
1004,150427,-160.0
1005,150537,-110.0
1006,150632,-95.0
1007,150760,-128.0
1008,150866,-106.0
1009,150961,-95.0
1010,151081,-120.0
1011,151206,-125.0
1012,151348,-142.0
1013,151467,-119.0
1014,151592,-125.0
1015,151705,-113.0
1016,151810,-105.0
1017,151920,-110.0
1018,152104,-184.0
1019,152234,-130.0
1020,152337,-103.0
1021,152525,-188.0
1022,152624,-99.0
1023,152800,-176.0
1024,152930,-130.0
1025,153030,-100.0
1026,153154,-124.0
1027,153260,-106.0
1028,153364,-104.0
1029,153459,-95.0
1030,153597,-138.0
1031,153715,-118.0
1032,153838,-123.0
1033,153927,-89.0
1034,154051,-124.0
1035,154153,-102.0
1036,154263,-110.0
1037,154382,-119.0
1038,154488,-106.0
1039,154657,-169.0
1040,154781,-124.0
1041,154889,-108.0
1042,154974,-85.0
1043,155067,-93.0
1044,155224,-157.0
1045,155356,-132.0
1046,155475,-119.0
1047,155606,-131.0
1048,155728,-122.0
1049,155865,-137.0
1050,155965,-100.0
1051,156074,-109.0
1052,156181,-107.0
1053,156286,-105.0
1054,156395,-109.0
1055,156507,-112.0
1056,156627,-120.0
1057,156740,-113.0
1058,156861,-121.0
1059,156980,-119.0
1060,157069,-89.0
1061,157182,-113.0
1062,157307,-125.0
1063,157438,-131.0
1064,157530,-92.0
1065,157619,-89.0
1066,157745,-126.0
1067,157841,-96.0
1068,157965,-124.0
1069,158064,-99.0
1070,158153,-89.0
1071,158261,-108.0
1072,158383,-122.0
1073,158506,-123.0
1074,158631,-125.0
1075,158722,-91.0
1076,158842,-120.0
1077,158960,-118.0
1078,159072,-112.0
1079,159162,-90.0
1080,159275,-113.0
1081,159385,-110.0
1082,159500,-115.0
1083,159591,-91.0
